when	uptime_s	dext_pid	dext_started	dart	lock	card_busy	mark
2026-09-20T01:21:10-07:00	12930	1340	1789879540	clean	free	0	crossmodel-sweep
2026-09-20T01:23:15	card	coder-next-80b-a3b	12k	11999	21.28	563.8	21.3	102
2026-09-20T01:23:29	card	coder-next-80b-a3b	24k	23999	13.51	1775.7	13.5	102
2026-09-20T01:23:49	card	coder-next-80b-a3b	26k	25999	20.38	1275.6	20.4	102
2026-09-20T01:24:16	card	coder-next-80b-a3b	48k	47999	27.18	1765.9	27.2	102
2026-09-20T01:24:35	metal	coder-next-80b-a3b	12k	11999	14.54	825.4	14.5	3
2026-09-20T01:25:12	metal	coder-next-80b-a3b	24k	23999	37.47	640.5	37.5	3
2026-09-20T01:25:55	metal	coder-next-80b-a3b	26k	25999	42.66	609.5	42.7	3
2026-09-20T01:27:40	metal	coder-next-80b-a3b	48k	47999	104.90	457.5	104.9	3
2026-09-20T01:30:04	card	gpt-oss-120b	12k	11999	28.71	418.0	28.7	113
2026-09-20T01:30:19	card	gpt-oss-120b	24k	23999	15.49	1549.0	15.5	113
2026-09-20T01:30:44	card	gpt-oss-120b	26k	25999	25.26	1029.4	25.3	113
2026-09-20T01:31:16	card	gpt-oss-120b	48k	47999	31.45	1526.4	31.5	113
2026-09-20T01:31:40	metal	gpt-oss-120b	12k	11999	19.53	614.5	19.5	4
2026-09-20T01:32:28	metal	gpt-oss-120b	24k	23999	48.57	494.1	48.6	4
2026-09-20T01:33:22	metal	gpt-oss-120b	26k	25999	53.82	483.1	53.8	4
2026-09-20T01:35:36	metal	gpt-oss-120b	48k	47999	133.45	359.7	133.5	4
2026-09-20T01:38:30	card	qwen3.5-122b-a10b	12k	11999	33.56	357.5	33.6	138
2026-09-20T01:38:49	card	qwen3.5-122b-a10b	24k	23999	18.53	1295.5	18.5	138
2026-09-20T01:39:19	card	qwen3.5-122b-a10b	26k	25999	30.02	866.0	30.0	138
2026-09-20T01:39:57	card	qwen3.5-122b-a10b	48k	47999	38.21	1256.1	38.2	138
2026-09-20T01:40:34	metal	qwen3.5-122b-a10b	12k	11999	32.44	369.9	32.4	5
2026-09-20T01:41:54	metal	qwen3.5-122b-a10b	24k	23999	79.56	301.6	79.6	5
2026-09-20T01:43:31	metal	qwen3.5-122b-a10b	26k	25999	96.93	268.2	96.9	5
2026-09-20T01:47:00	metal	qwen3.5-122b-a10b	48k	47999	209.05	229.6	209.1	5
2026-09-20T01:49:39	card	llama4-scout-109b-a17b	12k	11999	28.06	427.6	28.1	129
2026-09-20T01:50:00	card	llama4-scout-109b-a17b	24k	23999	20.79	1154.4	20.8	129
2026-09-20T01:50:30	card	llama4-scout-109b-a17b	26k	25999	30.69	847.2	30.7	129
2026-09-20T01:51:14	card	llama4-scout-109b-a17b	48k	47999	43.61	1100.7	43.6	129
2026-09-20T01:52:05	metal	llama4-scout-109b-a17b	12k	11999	46.63	257.3	46.6	4
2026-09-20T01:53:53	metal	llama4-scout-109b-a17b	24k	23999	107.37	223.5	107.4	4
2026-09-20T01:55:52	metal	llama4-scout-109b-a17b	26k	25999	119.48	217.6	119.5	4
2026-09-20T01:59:48	metal	llama4-scout-109b-a17b	48k	47999	235.64	203.7	235.6	4
2026-09-20T02:03:41	card	deepseek-v4-flash-q2	12k	11999	48.66	246.6	48.7	182
2026-09-20T02:04:24	card	deepseek-v4-flash-q2	24k	23999	43.18	555.7	43.2	182
2026-09-20T02:05:23	card	deepseek-v4-flash-q2	26k	25999	59.30	438.4	59.3	182
2026-09-20T02:06:52	card	deepseek-v4-flash-q2	48k	47999	88.03	545.2	88.0	182
2026-09-20T02:08:00	metal	deepseek-v4-flash-q2	12k	11999	62.45	192.1	62.5	5
2026-09-20T02:10:19	metal	deepseek-v4-flash-q2	24k	23999	139.14	172.5	139.1	5
2026-09-20T02:12:45	metal	deepseek-v4-flash-q2	26k	25999	145.59	178.6	145.6	5
2026-09-20T02:17:15	metal	deepseek-v4-flash-q2	48k	47999	270.36	177.5	270.4	5
2026-09-20T02:20:34	card	mixtral-8x22b-a39b	12k	11999	32.75	366.4	32.8	163
2026-09-20T02:21:00	card	mixtral-8x22b-a39b	24k	23999	26.30	912.7	26.3	163
2026-09-20T02:21:41	card	mixtral-8x22b-a39b	26k	25999	40.79	637.4	40.8	163
2026-09-20T02:22:40	card	mixtral-8x22b-a39b	48k	47999	59.35	808.8	59.4	163
2026-09-20T02:24:35	metal	mixtral-8x22b-a39b	12k	11999	109.11	110.0	109.1	5
2026-09-20T02:28:56	metal	mixtral-8x22b-a39b	24k	23999	260.29	92.2	260.3	5
2026-09-20T02:33:31	metal	mixtral-8x22b-a39b	26k	25999	275.87	94.2	275.9	5
2026-09-20T02:43:47	metal	mixtral-8x22b-a39b	48k	47999	615.50	78.0	615.5	5
